"carcID","Year","Season","SeasonYear","Building","Facade","Date","Species"
"x33",2019,"Fall","Fall2019","EOW","EOW3","2019-09-27","SwainsonsThrush"
"x34",2019,"Fall","Fall2019","MWB","MWB8","2019-09-27","LincolnsSparrow"
"x35",2019,"Fall","Fall2019","EOW","EOW1","2019-09-28","DarkEyedJunco"
"x36",2019,"Fall","Fall2019","EOW","EOW4","2019-09-28","SwainsonsThrush"
"x37",2019,"Fall","Fall2019","EOW","EOW5","2019-09-28","HermitThrush"
"x38",2019,"Fall","Fall2019","UVC","UVC3","2019-09-28",NA
"x39",2019,"Fall","Fall2019","UVC","UVC10","2019-09-28",NA
"x40",2019,"Fall","Fall2019","MWB","MWB5","2019-09-28",NA
"x41",2019,"Fall","Fall2019","FIA","FIA6","2019-09-29",NA
"x42",2019,"Fall","Fall2019","EOW","EOW1","2019-09-29",NA
"x43",2019,"Fall","Fall2019","EOW","EOW1","2019-09-29","HermitThrush"
"x44",2019,"Fall","Fall2019","EOW","EOW1","2019-09-29","YellowWarbler"
"x45",2019,"Fall","Fall2019","EOW","EOW1","2019-09-29","FoxSparrow"
"x46",2019,"Fall","Fall2019","EOW","EOW2","2019-09-29","OrangeCrownedWarbler"
"x47",2019,"Fall","Fall2019","EOW","EOW2","2019-09-29","FoxSparrow"
"x48",2019,"Fall","Fall2019","EOW","EOW2","2019-09-29","VariedThrush"
"x49",2019,"Fall","Fall2019","EOW","EOW4","2019-09-29","GoldenCrownedKinglet"
"x50",2019,"Fall","Fall2019","EOW","EOW4","2019-09-29","GoldenCrownedKinglet"
"x51",2019,"Fall","Fall2019","EOW","EOW5","2019-09-29","HermitThrush"
"x52",2019,"Fall","Fall2019","MWB","MWB9","2019-09-30","OrangeCrownedWarbler"
"x53",2019,"Fall","Fall2019","EOW","EOW1","2019-09-30","VariedThrush"
"x54",2019,"Fall","Fall2019","EOW","EOW2","2019-09-30","SwainsonsThrush"
"x55",2019,"Fall","Fall2019","EOW","EOW3","2019-09-30","FoxSparrow"
"x56",2019,"Fall","Fall2019","MSB","MSB7","2019-09-30","FoxSparrow"
"x57",2019,"Fall","Fall2019","EOW","EOW1","2019-10-02","FoxSparrow"
"x58",2019,"Fall","Fall2019","EOW","EOW3","2019-10-02","OrangeCrownedWarbler"
"x59",2019,"Fall","Fall2019","UVC","UVC11","2019-10-02","LincolnsSparrow"
"x60",2019,"Fall","Fall2019","UVC","UVC9","2019-10-02",NA
"x61",2019,"Fall","Fall2019","DTB","DTB7","2019-10-02","GoldenCrownedKinglet"
"x62",2019,"Fall","Fall2019","MSB","MSB2","2019-10-02","FoxSparrow"
"x63",2019,"Fall","Fall2019","FIA","FIA3","2019-10-03","AnnasHummingbird"
"x64",2019,"Fall","Fall2019","EOW","EOW2","2019-10-04","YellowWarbler"
"x65",2019,"Fall","Fall2019","MWB","MWB1","2019-10-04",NA
"x66",2019,"Fall","Fall2019","FIA","FIA5","2019-10-05","VariedThrush"
"x67",2019,"Fall","Fall2019","DTB","DTB3","2019-10-06","YellowWarbler"
"x68",2019,"Fall","Fall2019","EOW","EOW2","2019-10-06","SwainsonsThrush"
"x69",2019,"Fall","Fall2019","EOW","EOW2","2019-10-06",NA
"x70",2020,"Fall","Fall2020","MWB","MWB5","2020-09-19",NA
"x71",2020,"Fall","Fall2020","DTB","DTB2","2020-09-19","FoxSparrow"
"x72",2020,"Fall","Fall2020","MSB","MSB5","2020-09-19","GoldenCrownedSparrow"
"x73",2020,"Fall","Fall2020","EOW","EOW2","2020-09-19","HermitThrush"
"x74",2020,"Fall","Fall2020","EOW","EOW2","2020-09-19","HermitThrush"
"x75",2020,"Fall","Fall2020","EOW","EOW4","2020-09-20","FoxSparrow"
"x76",2020,"Fall","Fall2020","MSB","MSB4","2020-09-20","VariedThrush"
"x77",2020,"Fall","Fall2020","UVC","UVC3","2020-09-20",NA
"x78",2020,"Fall","Fall2020","FIA","FIA1","2020-09-21","AmericanPipit"
"x79",2020,"Fall","Fall2020","FIA","FIA5","2020-09-21","HermitThrush"
"x80",2020,"Fall","Fall2020","EOW","EOW3","2020-09-21","FoxSparrow"
"x81",2020,"Fall","Fall2020","MSB","MSB2","2020-09-22","DarkEyedJunco"
"x82",2020,"Fall","Fall2020","FIA","FIA5","2020-09-22","HermitThrush"
"x83",2020,"Fall","Fall2020","EOW","EOW1","2020-09-23","OrangeCrownedWarbler"
"x84",2020,"Fall","Fall2020","FIA","FIA6","2020-09-24","SwainsonsThrush"
"x85",2020,"Fall","Fall2020","MSB","MSB2","2020-09-24","GoldenCrownedKinglet"
"x86",2020,"Fall","Fall2020","MWB","MWB5","2020-09-25","AmericanPipit"
"x87",2020,"Fall","Fall2020","DTB","DTB3","2020-09-26","RubyCrownedKinglet"
"x88",2020,"Fall","Fall2020","FIA","FIA5","2020-09-27","HermitThrush"
"x89",2020,"Fall","Fall2020","MSB","MSB2","2020-09-27","HermitThrush"
"x90",2020,"Fall","Fall2020","EOW","EOW4","2020-09-27","HermitThrush"
"x91",2020,"Fall","Fall2020","UVC","UVC8","2020-09-27",NA
"x92",2020,"Fall","Fall2020","MWB","MWB4","2020-09-27","SwainsonsThrush"
"x93",2020,"Fall","Fall2020","MSB","MSB2","2020-09-28","FoxSparrow"
"x94",2020,"Fall","Fall2020","FIA","FIA4","2020-09-28","AmericanRobin"
"x95",2020,"Fall","Fall2020","EOW","EOW1","2020-09-29","GoldenCrownedSparrow"
"x96",2020,"Fall","Fall2020","EOW","EOW1","2020-09-29","HermitThrush"
"x97",2020,"Fall","Fall2020","MWB","MWB2","2020-09-29","YellowRumpedWarbler"
"x98",2020,"Fall","Fall2020","FIA","FIA6","2020-09-29",NA
"x99",2020,"Fall","Fall2020","MSB","MSB2","2020-09-29",NA
"x100",2020,"Fall","Fall2020","FIA","FIA6","2020-10-01",NA
"x101",2020,"Fall","Fall2020","MSB","MSB2","2020-10-01","YellowRumpedWarbler"
"x102",2020,"Fall","Fall2020","EOW","EOW2","2020-10-01","GoldenCrownedKinglet"
"x103",2020,"Fall","Fall2020","FIA","FIA6","2020-10-02","VariedThrush"
"x104",2020,"Fall","Fall2020","EOW","EOW5","2020-10-02","GoldenCrownedKinglet"
"x105",2020,"Fall","Fall2020","FIA","FIA1","2020-10-03","AmericanRobin"
"x106",2020,"Fall","Fall2020","MSB","MSB2","2020-10-04","VariedThrush"
"x107",2020,"Fall","Fall2020","EOW","EOW3","2020-10-04","GoldenCrownedKinglet"
"x108",2020,"Fall","Fall2020","EOW","EOW4","2020-10-05","PacificSlopeFlycatcher"
"x109",2020,"Fall","Fall2020","FIA","FIA6","2020-10-07","AmericanRobin"
"x110",2020,"Fall","Fall2020","EOW","EOW3","2020-10-07","HermitThrush"
"x111",2020,"Fall","Fall2020","EOW","EOW2","2020-10-08","HermitThrush"
"x112",2020,"Fall","Fall2020","FIA","FIA4","2020-10-08","AmericanRobin"
"x113",2020,"Fall","Fall2020","FIA","FIA6","2020-10-09","CedarWaxwing"
"x114",2020,"LateWinter","LateWinter2020","FIA","FIA6","2020-01-25","ChestnutBackedChickadee"
"x115",2020,"LateWinter","LateWinter2020","EOW","EOW2","2020-01-27","AmericanRobin"
"x116",2020,"LateWinter","LateWinter2020","EOW","EOW2","2020-02-01","AnnasHummingbird"
"x117",2020,"LateWinter","LateWinter2020","EOW","EOW1","2020-02-05","AmericanRobin"
"x118",2020,"LateWinter","LateWinter2020","EOW","EOW2","2020-02-07",NA
"x119",2021,"LateWinter","LateWinter2021","FIA","FIA5","2021-01-25","AmericanRobin"
"x120",2021,"LateWinter","LateWinter2021","EOW","EOW1","2021-01-27","AmericanRobin"
"x121",2021,"LateWinter","LateWinter2021","DTB","DTB8","2021-02-03","AmericanRobin"
"x122",2021,"EarlyWinter","EarlyWinter2021","MSB","MSB2","2021-11-22","GoldenCrownedKinglet"
"x123",2021,"EarlyWinter","EarlyWinter2021","EOW","EOW4","2021-11-22","VariedThrush"
"x124",2021,"EarlyWinter","EarlyWinter2021","EOW","EOW2","2021-11-28","VariedThrush"
"x125",2021,"EarlyWinter","EarlyWinter2021","EOW","EOW1","2021-11-29","VariedThrush"
"x126",2021,"EarlyWinter","EarlyWinter2021","DTB","DTB7","2021-12-02","HermitThrush"
"x127",2021,"EarlyWinter","EarlyWinter2021","MWB","MWB10","2021-12-05","VariedThrush"
"x128",2021,"EarlyWinter","EarlyWinter2021","FIA","FIA1","2021-12-06","GoldenCrownedKinglet"
"x129",2021,"EarlyWinter","EarlyWinter2021","FIA","FIA1","2021-12-08","VariedThrush"
"x130",2021,"EarlyWinter","EarlyWinter2021","FIA","FIA3","2021-12-09","GoldenCrownedKinglet"
"x131",2021,"EarlyWinter","EarlyWinter2021","EOW","EOW2","2021-12-09","VariedThrush"
"x132",2021,"EarlyWinter","EarlyWinter2021","MSB","MSB1","2021-12-10","AmericanRobin"
"x133",2022,"LateWinter","LateWinter2022","FIA","FIA6","2022-01-17","GoldenCrownedKinglet"
"x134",2022,"LateWinter","LateWinter2022","EOW","EOW2","2022-01-19","HouseFinch"
"x135",2022,"LateWinter","LateWinter2022","DTB","DTB7","2022-01-21","AmericanRobin"
"x136",2022,"LateWinter","LateWinter2022","UVC","UVC8","2022-01-21","AnnasHummingbird"
"x137",2022,"LateWinter","LateWinter2022","FIA","FIA5","2022-01-24",NA
