Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers,FlockingWinter,FlockingFall
S59915443,Chestnut-backed Chickadee,Poecile rufescens,21591,1,CA-BC,Capital,L9930892,UVIC-MWB8,48.4659011,-123.313713,9/18/19,8:31 AM,eBird - Stationary Count,5,1,,,1,,,"Micheal Williams Building, MWB, Facade 8.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60625784,Chestnut-backed Chickadee,Poecile rufescens,21591,20,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,Y,Y
S59915449,Dark-eyed Junco,Junco hyemalis,32449,3,CA-BC,Capital,L9930368,UVIC-DTB8,48.4652048,-123.314461,9/18/19,7:29 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building. DTB, Facade 8.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S59915446,Dark-eyed Junco,Junco hyemalis,32449,1,CA-BC,Capital,L9930865,UVIC-EOW3,48.4613159,-123.3096298,9/18/19,8:08 AM,eBird - Stationary Count,5,1,,,1,,,"Engineering Office Building. EOW, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S59915447,Dark-eyed Junco,Junco hyemalis,32449,1,CA-BC,Capital,L9930846,UVIC-MSB2,48.4620092,-123.3125829,9/18/19,7:57 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, facade 2  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60625784,Dark-eyed Junco,Junco hyemalis,32449,16,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,Y,Y
S59915449,Downy Woodpecker,Dryobates pubescens,11083,1,CA-BC,Capital,L9930368,UVIC-DTB8,48.4652048,-123.314461,9/18/19,7:29 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building. DTB, Facade 8.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,N
S59915447,Downy Woodpecker,Dryobates pubescens,11083,1,CA-BC,Capital,L9930846,UVIC-MSB2,48.4620092,-123.3125829,9/18/19,7:57 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, facade 2  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,N
S60625784,Downy Woodpecker,Dryobates pubescens,11083,2,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,N,N
S59915449,European Starling,Sturnus vulgaris,27232,30,CA-BC,Capital,L9930368,UVIC-DTB8,48.4652048,-123.314461,9/18/19,7:29 AM,eBird - Stationary Count,5,1,,,1,F Flyover,,"David Turpin Building. DTB, Facade 8.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60625784,European Starling,Sturnus vulgaris,27232,25,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,Y,Y
S60625784,Glaucous-winged Gull,Larus glaucescens,6484,1,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,Y,N
S60625784,Golden-crowned Kinglet,Regulus satrapa,26274,4,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,Y,Y
S59915448,House Finch,Haemorhous mexicanus,31648,2,CA-BC,Capital,L9930420,UVIC-FIA1,48.4622663,-123.3167005,9/18/19,7:43 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building. FIA, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,Y
S59915447,House Finch,Haemorhous mexicanus,31648,1,CA-BC,Capital,L9930846,UVIC-MSB2,48.4620092,-123.3125829,9/18/19,7:57 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, facade 2  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,Y
S59915443,House Finch,Haemorhous mexicanus,31648,1,CA-BC,Capital,L9930892,UVIC-MWB8,48.4659011,-123.313713,9/18/19,8:31 AM,eBird - Stationary Count,5,1,,,1,,,"Micheal Williams Building, MWB, Facade 8.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,Y
S59915444,House Finch,Haemorhous mexicanus,31648,3,CA-BC,Capital,L9930879,UVIC-UVC3,48.4646005,-123.3116142,9/18/19,8:19 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre. UVC, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,Y
S60625784,House Finch,Haemorhous mexicanus,31648,12,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,N,Y
S59915443,Northern Flicker,Colaptes auratus,11572,2,CA-BC,Capital,L9930892,UVIC-MWB8,48.4659011,-123.313713,9/18/19,8:31 AM,eBird - Stationary Count,5,1,,,1,F Flyover,,"Micheal Williams Building, MWB, Facade 8.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,N
S60625784,Northern Flicker,Colaptes auratus,11572,2,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,N,N
S59915449,Orange-crowned Warbler,Leiothlypis celata,33296,2,CA-BC,Capital,L9930368,UVIC-DTB8,48.4652048,-123.314461,9/18/19,7:29 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building. DTB, Facade 8.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,na,N
S59915448,Orange-crowned Warbler,Leiothlypis celata,33296,2,CA-BC,Capital,L9930420,UVIC-FIA1,48.4622663,-123.3167005,9/18/19,7:43 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building. FIA, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,na,N
S59915447,Orange-crowned Warbler,Leiothlypis celata,33296,2,CA-BC,Capital,L9930846,UVIC-MSB2,48.4620092,-123.3125829,9/18/19,7:57 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, facade 2  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,na,N
S60625784,Orange-crowned Warbler,Leiothlypis celata,33296,11,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,na,N
S60625784,Osprey,Pandion haliaetus,7565,1,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,N,N
S60625784,Purple Finch,Haemorhous purpureus,31662,2,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,N,N
S59915448,Red-breasted Nuthatch,Sitta canadensis,26353,1,CA-BC,Capital,L9930420,UVIC-FIA1,48.4622663,-123.3167005,9/18/19,7:43 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building. FIA, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,Y
S59915447,Red-breasted Nuthatch,Sitta canadensis,26353,1,CA-BC,Capital,L9930846,UVIC-MSB2,48.4620092,-123.3125829,9/18/19,7:57 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, facade 2  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,Y
S60625784,Red-breasted Nuthatch,Sitta canadensis,26353,3,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,N,Y
S59915449,Spotted Towhee,Pipilo maculatus,32713,1,CA-BC,Capital,L9930368,UVIC-DTB8,48.4652048,-123.314461,9/18/19,7:29 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building. DTB, Facade 8.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,Y
S59915446,Spotted Towhee,Pipilo maculatus,32713,2,CA-BC,Capital,L9930865,UVIC-EOW3,48.4613159,-123.3096298,9/18/19,8:08 AM,eBird - Stationary Count,5,1,,,1,,,"Engineering Office Building. EOW, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,Y
S59915447,Spotted Towhee,Pipilo maculatus,32713,1,CA-BC,Capital,L9930846,UVIC-MSB2,48.4620092,-123.3125829,9/18/19,7:57 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, facade 2  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,Y
S60625784,Spotted Towhee,Pipilo maculatus,32713,7,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,N,Y
S59915448,Steller's Jay,Cyanocitta stelleri,20766,1,CA-BC,Capital,L9930420,UVIC-FIA1,48.4622663,-123.3167005,9/18/19,7:43 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building. FIA, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60625784,Steller's Jay,Cyanocitta stelleri,20766,1,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,Y,Y
S59915446,Swainson's Thrush,Catharus ustulatus,27730,1,CA-BC,Capital,L9930865,UVIC-EOW3,48.4613159,-123.3096298,9/18/19,8:08 AM,eBird - Stationary Count,5,1,,,1,,,"Engineering Office Building. EOW, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,na,N
S60625784,Swainson's Thrush,Catharus ustulatus,27730,1,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,na,N
S60625784,Townsend's Warbler,Setophaga townsendi,33509,2,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,na,N
S59915449,Yellow-rumped Warbler,Setophaga coronata,33469,1,CA-BC,Capital,L9930368,UVIC-DTB8,48.4652048,-123.314461,9/18/19,7:29 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building. DTB, Facade 8.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60625784,Yellow-rumped Warbler,Setophaga coronata,33469,2,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,Y,Y
S60023820,American Crow,Corvus brachyrhynchos,21054,1,CA-BC,Capital,L9945527,UVIC-MWB2,48.4660172,-123.3144889,9/22/19,8:27 AM,eBird - Stationary Count,5,1,,,1,,,"Micheal Williams Building, MWB, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast with light rain.",,Y,Y
S60625785,American Crow,Corvus brachyrhynchos,21054,7,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,Y,Y
S60023454,American Goldfinch,Spinus tristis,31953,7,CA-BC,Capital,L9945435,UVIC-FIA5,48.461824,-123.3167171,9/22/19,7:37 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building, FIA, Facade 5.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60625785,American Goldfinch,Spinus tristis,31953,7,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,Y,Y
S60023454,American Robin,Turdus migratorius,27969,4,CA-BC,Capital,L9945435,UVIC-FIA5,48.461824,-123.3167171,9/22/19,7:37 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building, FIA, Facade 5.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60023820,American Robin,Turdus migratorius,27969,1,CA-BC,Capital,L9945527,UVIC-MWB2,48.4660172,-123.3144889,9/22/19,8:27 AM,eBird - Stationary Count,5,1,,,1,,,"Micheal Williams Building, MWB, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast with light rain.",,Y,Y
S60625785,American Robin,Turdus migratorius,27969,20,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,Y,Y
S60023820,Anna's Hummingbird,Calypte anna,4752,1,CA-BC,Capital,L9945527,UVIC-MWB2,48.4660172,-123.3144889,9/22/19,8:27 AM,eBird - Stationary Count,5,1,,,1,,,"Micheal Williams Building, MWB, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast with light rain.",,N,N
S60023728,Anna's Hummingbird,Calypte anna,4752,2,CA-BC,Capital,L9945512,UVIC-UVC7,48.4651086,-123.3109606,9/22/19,8:16 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre, UVC, Facade 7.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,N
S60625785,Anna's Hummingbird,Calypte anna,4752,7,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,N,N
S60625785,Bewick's Wren,Thryomanes bewickii,26787,3,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,N,Y
S60625785,Brown Creeper,Certhia americana,26441,1,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,N,N
S60625785,Bushtit,Psaltriparus minimus,24702,10,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,Y,Y
S60023454,Canada Goose,Branta canadensis,319,4,CA-BC,Capital,L9945435,UVIC-FIA5,48.461824,-123.3167171,9/22/19,7:37 AM,eBird - Stationary Count,5,1,,,1,F Flyover,,"Fine Arts Building, FIA, Facade 5.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60625785,Canada Goose,Branta canadensis,319,11,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,Y,Y
S60023928,Cedar Waxwing,Bombycilla cedrorum,29256,1,CA-BC,Capital,L9945548,UVIC-DTB5,48.4648617,-123.3147289,9/22/19,8:36 AM,eBird - Stationary Count,5,1,,,1,F Flyover,,"David Turpin Building, DTB, Facade 5.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast with light rain.",,Y,Y
S60625785,Cedar Waxwing,Bombycilla cedrorum,29256,14,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,Y,Y
S60023454,Chestnut-backed Chickadee,Poecile rufescens,21591,1,CA-BC,Capital,L9945435,UVIC-FIA5,48.461824,-123.3167171,9/22/19,7:37 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building, FIA, Facade 5.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60625785,Chestnut-backed Chickadee,Poecile rufescens,21591,20,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,Y,Y
S60625785,Common Raven,Corvus corax,21121,1,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,N,Y
S60023728,Dark-eyed Junco,Junco hyemalis,32449,1,CA-BC,Capital,L9945512,UVIC-UVC7,48.4651086,-123.3109606,9/22/19,8:16 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre, UVC, Facade 7.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60625785,Dark-eyed Junco,Junco hyemalis,32449,25,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,Y,Y
S60625785,Downy Woodpecker,Dryobates pubescens,11083,1,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,N,N
S60023653,European Starling,Sturnus vulgaris,27232,3,CA-BC,Capital,L9945501,UVIC-EOW6,48.4613442,-123.3099217,9/22/19,8:03 AM,eBird - Stationary Count,5,1,,,1,F Flyover,,"Engineering Office Wing, EOW, Facade 6.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast with light rain",,Y,Y
S60625785,European Starling,Sturnus vulgaris,27232,3,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,Y,Y
S60023820,Glaucous-winged Gull,Larus glaucescens,6484,1,CA-BC,Capital,L9945527,UVIC-MWB2,48.4660172,-123.3144889,9/22/19,8:27 AM,eBird - Stationary Count,5,1,,,1,,,"Micheal Williams Building, MWB, Facade 2.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast with light rain.",,Y,N
S60023728,Glaucous-winged Gull,Larus glaucescens,6484,2,CA-BC,Capital,L9945512,UVIC-UVC7,48.4651086,-123.3109606,9/22/19,8:16 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre, UVC, Facade 7.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,N
S60625785,Glaucous-winged Gull,Larus glaucescens,6484,6,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,Y,N
S60023454,Golden-crowned Kinglet,Regulus satrapa,26274,2,CA-BC,Capital,L9945435,UVIC-FIA5,48.461824,-123.3167171,9/22/19,7:37 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building, FIA, Facade 5.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60023543,Golden-crowned Kinglet,Regulus satrapa,26274,1,CA-BC,Capital,L9945482,UVIC-MSB4,48.4615546,-123.3125805,9/22/19,7:55 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, Facade 4.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60023728,Golden-crowned Kinglet,Regulus satrapa,26274,1,CA-BC,Capital,L9945512,UVIC-UVC7,48.4651086,-123.3109606,9/22/19,8:16 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre, UVC, Facade 7.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60625785,Golden-crowned Kinglet,Regulus satrapa,26274,25,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,Y,Y
S60023454,Golden-crowned Sparrow,Zonotrichia atricapilla,32521,1,CA-BC,Capital,L9945435,UVIC-FIA5,48.461824,-123.3167171,9/22/19,7:37 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building, FIA, Facade 5.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60625785,Golden-crowned Sparrow,Zonotrichia atricapilla,32521,6,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/22/19,7:35 AM,eBird - Traveling Count,91,1,3.482,,1,,,Uvic survey walk,,Y,Y
