ID,Season,SeasonYear,SeasonGen,Building,Building_Facade,Building_Type,s1,s2,s3,s4,s5,PlacemDate
FOSP2,Winter,JanFeb2021,Winter,MSB,MSB2,high,1,NA,NA,NA,NA,2/2/21
AMRO1,Winter,JanFeb2020,Winter,MSB,MSB3,high,1,NA,NA,NA,NA,2/4/20
RUHU5,Winter,JanFeb2022,Winter,MSB,MSB3,high,0,0,0,1,NA,1/17/22
HETH2,Fall,SepOct2019,Fall,MSB,MSB5,high,1,NA,NA,NA,NA,9/25/19
HETH5,Fall,SepOct2020,Fall,MSB,MSB5,high,1,NA,NA,NA,NA,10/3/20
SAVS6,Winter,NovDec2021,EarlyWinter,MSB,MSB5,high,1,NA,NA,NA,NA,12/4/21
LISP1,Fall,SepOct2019,Fall,MSB,MSB7,high,1,NA,NA,NA,NA,9/25/19
ORJU4,Fall,SepOct2020,Fall,MSB,MSB7,high,1,NA,NA,NA,NA,10/3/20
CEWA1,Winter,JanFeb2021,Winter,MSB,MSB7,high,1,NA,NA,NA,NA,2/2/21
GCKI7,Winter,JanFeb2022,Winter,MSB,MSB7,high,1,NA,NA,NA,NA,1/17/22
HETH7,Winter,JanFeb2021,Winter,MWB,MWB1,low,1,NA,NA,NA,NA,2/2/21
SPTO2,Winter,JanFeb2020,Winter,MWB,MWB10,low,0,NA,NA,NA,NA,2/4/20
VATH3,Fall,SepOct2020,Fall,MWB,MWB10,low,1,NA,NA,NA,NA,10/3/20
FOSP1,Fall,SepOct2019,Fall,MWB,MWB2,low,1,NA,NA,NA,NA,9/25/19
SWTH3,Winter,JanFeb2022,Winter,MWB,MWB2,low,0,0,0,1,NA,1/17/22
OCWA1,Winter,NovDec2021,EarlyWinter,MWB,MWB3,low,1,NA,NA,NA,NA,12/4/21
RSFL1,Fall,SepOct2020,Fall,MWB,MWB4,low,1,NA,NA,NA,NA,10/3/20
RCKI1,Winter,JanFeb2021,Winter,MWB,MWB5,low,1,NA,NA,NA,NA,2/2/21
RENU1,Winter,JanFeb2020,Winter,MWB,MWB6,low,1,NA,NA,NA,NA,2/4/20
SOSP2,Fall,SepOct2019,Fall,MWB,MWB9,low,0,0,0,1,NA,9/25/19
GCSP1,Fall,SepOct2020,Fall,MWB,MWB9,low,1,NA,NA,NA,NA,10/3/20
SAVS7,Winter,NovDec2021,EarlyWinter,MWB,MWB9,low,1,NA,NA,NA,NA,12/4/21
GCKI2,Fall,SepOct2020,Fall,UVC,UVC10,low,0,NA,NA,NA,NA,10/3/20
GCKI5,Winter,JanFeb2021,Winter,UVC,UVC10,low,0,1,NA,NA,NA,2/2/21
LISP2,Fall,SepOct2019,Fall,UVC,UVC11,low,1,NA,NA,NA,NA,9/25/19
LISP4,Winter,JanFeb2020,Winter,UVC,UVC11,low,0,1,NA,NA,NA,2/4/20
ORJU5,Winter,NovDec2021,EarlyWinter,UVC,UVC2,low,1,NA,NA,NA,NA,12/4/21
RUHU2,Fall,SepOct2019,Fall,UVC,UVC3,low,1,NA,NA,NA,NA,9/25/19
SPTO3,Fall,SepOct2020,Fall,UVC,UVC4,low,1,NA,NA,NA,NA,10/3/20
VATH4,Fall,SepOct2020,Fall,UVC,UVC6,low,1,NA,NA,NA,NA,10/3/20
FOSP4,Winter,NovDec2021,EarlyWinter,UVC,UVC7,low,0,NA,NA,NA,NA,12/4/21
GCSP2,Winter,JanFeb2021,Winter,UVC,UVC8,low,1,NA,NA,NA,NA,2/2/21
VATH2,Fall,SepOct2019,Fall,UVC,UVC9,low,0,1,NA,NA,NA,9/25/19
SWTH4,Winter,JanFeb2022,Winter,UVC,UVC9,low,1,NA,NA,NA,NA,1/17/22
MELOSPIZA,Winter,JanFeb2020,Winter,UVC,UVIC1,low,1,NA,NA,NA,NA,2/4/20
